"G","87","gce"
"F","87","[E,2C,2][G,C,]"
"G","88","g/d/g/b/g/d/"
"F","88","[D,2B,,2][D,B,,]"
"G","89","f/e/dg"
"F","89","F,/E,/D,G,"
"G","90","^f/a/d'/a/f/a/"
"F","90","[A,2C,2][A,C,]"
"G","91","[g2d2B2G2]z"
"F","91","G,,G,/=F,/E,/D,/"
"G","92","[dB]g/b/d"
"F","92","[G,2G,,2]G,"
"G","93","c2z"
"F","93","C,G,,C,,"
"G","94","[g2d2B2G2]z"
"F","94","G,,G,/=F,/E,/D,/"
"G","95","gec"
"F","95","E,2 z & C,2 x"
"G","96","ecG"
"F","96","C,2z"
"G","97","g/^f/g/d/B/G/"
"F","97","[D,2B,,2][G,B,,]"
"G","98","cGe"
"F","98","[E,/C,/]G,/[E,/C,/]G,/[E,/C,/]G,/"
"G","99","^fad"
"F","99","[A,2C,2][A,C,]"
"G","100","[g2d2B2G2]z"
"F","100","G,,G,/=F,/E,/D,/"
"G","101","e/d/e/g/c'/g/"
"F","101","G,2 E, & C,2 C,"
"G","102","^f/d/A f"
"F","102","[A,2C,2][A,C,]"
"G","103","c/e/c/G/E"
"F","103","[E,2C,2]z"
"G","104","e/d/e/g/c'/g/"
"F","104","C,2z"
"G","105","^fa/f/d/f/"
"F","105","C,2z"
"G","106","Ad/c/B/A/"
"F","106","C,D,D,,"
"G","107","[g2d2B2G2]z"
"F","107","G,,G,/=F,/E,/D,/"
"G","108","(egc')"
"F","108","[G,2C,2][E,C,]"
"G","109","d/f/d/f/B/d/"
"F","109","[A,2F,2][DG,]"
"G","110","([d/B/][c/A/])([c/A/][B/G/])([B/G/][A/^F/])"
"F","110","C,D,D,,"
"G","111","c2z"
"F","111","C,G,,C,,"
"G","112","ecG"
"F","112","[E,/C,/]G,/[E,/C,/]G,/[E,/C,/]G,/"
"G","113","fdB"
"F","113","[B,2G,2]z"
"G","114","[dB][dB][dB]"
"F","114","G,G,G,"
"G","115","c/G/e/c/g/e/"
"F","115","[E,2C,2]z"
"G","116","d/f/a/f/d/B/"
"F","116","F,2G,"
"G","117","d/A/d/^f/a/f/"
"F","117","[^F,2D,2]z"
"G","118","e/a/g/b/^f/a/"
"F","118","C,D,D,,"
"G","119","e/c/g/e/c'/g/"
"F","119","[E,2C,2]z"
"G","120","d'a/^f/d/A/"
"F","120","[^F,2D,2][F,C,]"
"G","121","gb/g/d"
"F","121","[G,2B,,2]z"
"G","122","g/^f/g/b/d"
"F","122","[D,B,,][D,B,,][G,B,,]"
"G","123","[g2d2B2G2]z"
"F","123","G,,G,/=F,/E,/D,/"
"G","124","[cE][cE][cE]"
"F","124","C,C,C,  "
"G","125","g/e/d/B/G"
"F","125","G,G,,z"
"G","126","c/G/c/e/g/[e/c/]"
"F","126","E,2 E,/C,/"
"G","127","[g2d2B2G2]z"
"F","127","G,,G,/=F,/E,/D,/"
"G","128","Bdg"
"F","128","G,,2z"
"G","129","a/g/^f/g/d"
"F","129","[D,B,,][D,B,,][G,B,,]"
"G","130","[cE][cE][cE]"
"F","130","C,C,C,  "
"G","131","c2z"
"F","131","C,G,,C,,"
"G","132","[ec][d/G/][B/G/]G"
"F","132","G,G,,z"
"G","133","dg/d/B/d/"
"F","133","[G,2B,,2]z"
"G","134","A/e/[d/B/][c/A/][B/G/][A/^F/]"
"F","134","C,D,D,,"
"G","135","^ff/d/a"
"F","135","D,D,D, & C,C,C,  "
"G","136","c'/b/c'/g/e/c/"
"F","136","[E,2C,2]z"
"G","137","cGe"
"F","137","[E,/C,/]G,/[E,/C,/]G,/[E,/C,/]G,/"
"G","138","[^fdA]!trill!f2"
"F","138","D,,/D,/^C,/D,/^C,/D,/"
"G","139","g/b/g/b/d"
"F","139","B,,2z"
"G","140","AA/d/^f"
"F","140","[^F,C,][F,C,][A,C,]"
"G","141","d/e/f/d/c/B/"
"F","141","[G,2B,,2]G,,"
"G","142","cGe"
"F","142","[E,2C,2]z"
"G","143","gd/B/G"
"F","143","[D,2B,,2][D,B,,]"
"G","144","gce"
"F","144","[E,/C,/]G,/[E,/C,/]G,/[E,/C,/]G,/"
"G","145","d/f/A/d/B/d/"
"F","145","F,2G,"
"G","146","[d^F][^fd][af]"
"F","146","C,C,C,  "
"G","147","e/c'/b/g/a/^f/"
"F","147","C,D,D,,"
"G","148","c'/b/c'/g/e/c/"
"F","148","[E,2C,2]z"
"G","149","f/d/AB"
"F","149","F,2G,"
"G","150","[ecG]!trill!e2"
"F","150","C,/B,,/C,/D,/E,/^F,/"
"G","151","c2z"
"F","151","C,G,,C,,"
"G","152","gf/e/d/c/"
"F","152","[E,2C,2]z"
"G","153","d/A/^f/d/a/f/"
"F","153","C,2z"
"G","154","d/^c/d/^f/a/f/"
"F","154","C,2z"
"G","155","g/b/g/d/B/G/"
"F","155","[D,2B,,2]z"
"G","156","c/G/e/c/g"
"F","156","[G,2E,2]z"
"G","157","e/d/e/g/c'/g/"
"F","157","C,2z"
"G","158","Bd/B/A/G/"
"F","158","G,2z"
"G","159","e/g/d/c/B/A/"
"F","159","C,D,D,,"
"G","160","c/B/c/e/G/c/"
"F","160","[E,2C,2][E,C,]"
"G","161","[d^F][d^F][d^F]"
"F","161","C,C,C,  "
"G","162","e/d/e/g/c'/g/"
"F","162","[G,2C,2][E,C,]"
"G","163","g/^f/g/d/B/G/"
"F","163","[D,2B,,2]z"
"G","164","dG2"
"F","164","G,/^F,/G,/D,/B,,/G,,/"
"G","165","(dBG)"
"F","165","B,,2z"
"G","166","d/b/g/d/B"
"F","166","[B,2G,2]z"
"G","167","cc/d/e"
"F","167","[E,2C,2]z"
"G","168","gf/e/d/c/"
"F","168","[E,2C,2][G,E,]"
"G","169","e/g/d/g/A/^f/"
"F","169","C,D,D,,"
"G","170","c2z"
"F","170","C,G,,C,,"
"G","171","B/c/d/e/f/d/"
"F","171","[G,2G,,2][G,B,,]"
"G","172","c2z"
"F","172","C,G,,C,,"
"G","173","f/a/ A B/d/"
"F","173","F,2G,"
"G","174","Gce"
"F","174","[E,/C,/]G,/[E,/C,/]G,/[E,/C,/]G,/"
"G","175","e/c/B/d/g"
"F","175","G,G,,z"
"G","176","a/g/b/g/d/g/"
"F","176","[D,2B,,2][D,B,,]"
"F","30B","G,,B,/G,/^F,/E,/"
"F","81B","G,,B,/G,/^F,/E,/"
"F","24B","G,,B,/G,/^F,/E,/"
"F","100B","G,,B,/G,/^F,/E,/"
"F","107B","G,,B,/G,/^F,/E,/"
"F","91B","G,,B,/G,/^F,/E,/"
"F","127B","G,,B,/G,/^F,/E,/"
"F","94B","G,,B,/G,/^F,/E,/"
"F","123B","G,,B,/G,/^F,/E,/"
"F","33B","G,,B,/G,/^F,/E,/"
"F","5B","G,,B,/G,/^F,/E,/"
